"filename", "language", "JavaScript", "JSON", "Properties", "comment", "blank", "total"
"c:\Users\Ljubo\Documents\GitHub\ecommerce\backend\.env", "Properties", 0, 0, 3, 0, 0, 3
"c:\Users\Ljubo\Documents\GitHub\ecommerce\backend\Controllers\auth.js", "JavaScript", 65, 0, 0, 0, 10, 75
"c:\Users\Ljubo\Documents\GitHub\ecommerce\backend\Controllers\customer.js", "JavaScript", 532, 0, 0, 19, 132, 683
"c:\Users\Ljubo\Documents\GitHub\ecommerce\backend\Controllers\store.js", "JavaScript", 524, 0, 0, 6, 138, 668
"c:\Users\Ljubo\Documents\GitHub\ecommerce\backend\Controllers\user.js", "JavaScript", 90, 0, 0, 0, 27, 117
"c:\Users\Ljubo\Documents\GitHub\ecommerce\backend\Models\addToCart.js", "JavaScript", 6, 0, 0, 0, 4, 10
"c:\Users\Ljubo\Documents\GitHub\ecommerce\backend\Models\chat.js", "JavaScript", 7, 0, 0, 0, 4, 11
"c:\Users\Ljubo\Documents\GitHub\ecommerce\backend\Models\collection.js", "JavaScript", 9, 0, 0, 0, 4, 13
"c:\Users\Ljubo\Documents\GitHub\ecommerce\backend\Models\post.js", "JavaScript", 20, 0, 0, 0, 5, 25
"c:\Users\Ljubo\Documents\GitHub\ecommerce\backend\Models\product.js", "JavaScript", 25, 0, 0, 0, 6, 31
"c:\Users\Ljubo\Documents\GitHub\ecommerce\backend\Models\review.js", "JavaScript", 10, 0, 0, 0, 4, 14
"c:\Users\Ljubo\Documents\GitHub\ecommerce\backend\Models\sale.js", "JavaScript", 14, 0, 0, 0, 4, 18
"c:\Users\Ljubo\Documents\GitHub\ecommerce\backend\Models\store.js", "JavaScript", 15, 0, 0, 0, 4, 19
"c:\Users\Ljubo\Documents\GitHub\ecommerce\backend\Models\user.js", "JavaScript", 32, 0, 0, 0, 4, 36
"c:\Users\Ljubo\Documents\GitHub\ecommerce\backend\Routes\auth.js", "JavaScript", 10, 0, 0, 0, 7, 17
"c:\Users\Ljubo\Documents\GitHub\ecommerce\backend\Routes\customer.js", "JavaScript", 67, 0, 0, 0, 34, 101
"c:\Users\Ljubo\Documents\GitHub\ecommerce\backend\Routes\store.js", "JavaScript", 70, 0, 0, 2, 31, 103
"c:\Users\Ljubo\Documents\GitHub\ecommerce\backend\Routes\user.js", "JavaScript", 15, 0, 0, 0, 8, 23
"c:\Users\Ljubo\Documents\GitHub\ecommerce\backend\index.js", "JavaScript", 53, 0, 0, 5, 9, 67
"c:\Users\Ljubo\Documents\GitHub\ecommerce\backend\package-lock.json", "JSON", 0, 6173, 0, 0, 1, 6174
"c:\Users\Ljubo\Documents\GitHub\ecommerce\backend\package.json", "JSON", 0, 28, 0, 0, 1, 29
"Total", "-", 1564, 6201, 3, 32, 437, 8237
